FKZ;modulzuordnung_ptj_1;modulzuordnung_ptj_2;modulzuordnung_ptj_3;modulzuordnung_ptj_4
03EN6001D;M2;;;
03EN6001A;M2;;;
03EN6001C;M2;;;
03EN6001E;M2;;;
03EN3031A;M3;;;
03EN3031B;M3;;;
03EN3031C;M3;;;
03EN1031I;M2;;;
03EN1031E;M2;;;
03EN1031B;M2;;;
03EN1031C;M2;;;
03EN1031A;M2;;;
03EN1031J;M2;;;
03EN1031D;M2;;;
03EN1031H;M2;;;
03EN1031G;M2;;;
03EN1031F;M2;;;
03ETW021G;;;;
03ETW021F;;;;
03ETW021E;;;;
03ETW021C;;;;
03ETW021B;;;;
03ETW021A;;;;
03EWR007E2 ;M3;;;
03EWR007H2;M3;;;
03EWR007O2;M3;;;
03EWR007R2;M3;;;
03EWR007Q2;M3;;;
03EWR007M2 ;M3;;;
03EWR007C2;M3;;;
03EWR007T2;M3;;;
03EWR008A;M3;;;
03EWR008B;M3;;;
03EWR008F;M3;;;
03EWR008G;M3;;;
03EWR008H;M3;;;
03EWR008I;M3;;;
03EWR008D;M3;;;
03EWR008E;M3;;;
03EWR008C;M3;;;
03EWR008J;M3;;;
03EWR008K;M3;;;
03EWR008L;M3;;;
03EN6004B;M3;;;
03EN6004A;M3;;;
03EN6004C;M3;;;
03EN1038;M2;;;
03EN6003D;M3;;;
03EN6003A;M3;;;
03EN6003C;M3;;;
03EN6003B;M3;;;
03EN3029E;M3;;;
03EN3036B;M3;;;
03EN3036A;M3;;;
03EN3034C;M3;;;
03EN3034A;M3;;;
03EN3034B;M3;;;
03EN3029D;M3;;;
03EN3029A;M3;;;
03EN3029F;M3;;;
03EN3029C;M3;;;
03EN3029B;M3;;;
03EN1029D;;;;
03EN1029C;;;;
03EN1029B;;;;
03EN1029A;;;;
03EN1025B;M2;;;
03EN1025A;M2;;;
03ETW025C;M2;;;
03ETW025B;M2;;;
03ETW025A;M2;;;
03ETW025D;M2;;;
03EN1028F;M2;;;
03EN1028G;M2;;;
03EN1028C;M2;;;
03EN1028H;M2;;;
03EN1028B;M2;;;
03EN1028A;M2;;;
03EN1028D;M2;;;
03EN1028E;M2;;;
03EN1018C;M2;;;
03EN1018B;M2;;;
03EN1018A;M2;;;
03EN1027A;M2;;;
03EN1027B;M2;;;
03EN1027C;M2;;;
03EN1027D;M2;;;
03EN1027E;M2;;;
03EN6006;M3;;;
03EN3030A;M3;;;
03EN3030C;M3;;;
03EN3030E;M3;;;
03EN3030B;M3;;;
03EN3030D;M3;;;
03EN3032B;M3;;;
03EN3032A;M3;;;
03EN3028;M3;;;
03ETW026A;M2;;;
03ETW026B;M2;;;
03SBE116P;M3;;;
03EN3022D;M3;;;
03EN3022A;M3;;;
03EN3022B;M3;;;
03EN3022C;M3;;;
03EN3024C;M3;;;
03EN3024A;M3;;;
03EN3024B;M3;;;
03EWR006SD;M3;;;
03EWR006SA;M3;;;
03EWR006SB;M3;;;
03EWR006SC;M3;;;
03EWR006MC;M3;;;
03EWR006SE;M3;;;
03EWR006MB;M3;;;
03EWR006MA;M3;;;
03EWR006UA;M3;;;
03EWR006UB;M3;;;
03EN3023C;M3;;;
03EN3023D;M3;;;
03EN3023B;M3;;;
03EN3023A;M3;;;
03EN1009J;M2;;;
03ETW023B;M2;;;
03ETW023A;M2;;;
03ETW024A;M2;;;
03ETW024D;M2;;;
03ETW024C;M2;;;
03ETW024B;M2;;;
03ETW022A;M2;;;
03ETW022C;M2;;;
03ETW022B;M2;;;
03EN3020C;M3;;;
03EN3020F;M3;;;
03EN3020E;M3;;;
03EN3020D;M3;;;
03EN3020B;M3;;;
03EN3020A;M3;;;
03EN1019D;M2;;;
03EN1019E;M2;;;
03EN1019A;M2;;;
03EN1019C;M2;;;
03EN1019B;M2;;;
03EWR020G;M3;;;
03EWR020A;M3;;;
03EWR020E;M3;;;
03EWR020F;M3;;;
03EWR020L;M3;;;
03EWR020M;M3;;;
03EWR020D;M3;;;
03EWR020Q;M3;;;
03EWR020H;M3;;;
03EWR020I;M3;;;
03EWR020J;M3;;;
03EWR020K;M3;;;
03EWR020N;M3;;;
03EWR020O;M3;;;
03EWR020P;M3;;;
03EWR020B;M3;;;
03ETW017D;M2;;;
03ETW017G;M2;;;
03ETW017B;M2;;;
03ETW017C;M2;;;
03EN3011A;M3;;;
03EN3011C;M3;;;
03EN3011B;M3;;;
03EN1013B;M2;;;
03EN1013A;M2;;;
03EN3008D;M3;;;
03EN3008C;M3;;;
03EN3008G;M3;;;
03EN3008B;M3;;;
03EN3008A;M3;;;
03EN3008E;M3;;;
03EN3008F;M3;;;
03EN3008H;M3;;;
03SBE116O;M3;;;
03EGB0021A;M2;;;
03EGB0021E;M2;;;
03EGB0021H;M2;;;
03EGB0021F;M2;;;
03EGB0021G;M2;;;
03EGB0021C;M2;;;
03EGB0021B;M2;;;
03EGB0021D;M2;;;
03EN3013A;M3;;;
03EN3013B;M3;;;
03EN3007A;M3;;;
03EN3007F;M3;;;
03EN3007C;M3;;;
03EN3007B;M3;;;
03EN3007E;M3;;;
03EN3007D;M3;;;
03EN3012A;M3;;;
03EN3012C;M3;;;
03EN3012B;M3;;;
03EN1009B;M2;;;
03EN1009E;M2;;;
03EN1009F;M2;;;
03EN1009A;M2;;;
03EN1009G;M2;;;
03EN1009D;M2;;;
03EN1009C;M2;;;
03EN1009I;M2;;;
03EN3014A;M3;;;
03EN3014B;M3;;;
03EN1012A;M2;;;
